-nan -nan
 0.59343891 -0.04088467
 0.74523100 0.14840370
 0.75941203 0.17965888
 0.74136026 0.24535719
 0.72434659 0.30386416
 0.70175693 0.36252577
 0.67546623 0.41969243
 0.64521988 0.47543262
 0.61113020 0.52951641
 0.57323971 0.58174709
 0.53158572 0.63191234
 0.48621121 0.67978887
 0.43716127 0.72513997
 0.38449036 0.76771511
 0.32826466 0.80724928
 0.26856628 0.84346348
 0.20549680 0.87606561
 0.13918084 0.90475207
 0.06976930 0.92920987
-0.00255768 0.94911896
-0.07758799 0.96415487
-0.15507501 0.97399136
-0.23473504 0.97830317
-0.31624468 0.97676905
-0.39923809 0.96907562
-0.48330499 0.95492311
-0.56799122 0.93403493
-0.65280640 0.90617371
-0.73724807 0.87116773
-0.82086012 0.82895209
-0.90335787 0.77962585
-0.98485463 0.72351264
-1.06610754 0.66108550
-1.14769501 0.59228091
-1.22318961 0.51347660
-1.26050438 0.41506875
-1.17726073 0.28483581
-1.06018786 0.16823317
-0.93727814 0.07300443
-0.77832513 0.00000000
