xstr ystr
0.01000000 0.10000000
0.03003758 0.09981081
0.05011012 0.09943652
0.07021461 0.09888612
0.09034770 0.09817292
0.11050587 0.09731380
0.13068560 0.09632821
0.15088354 0.09523710
0.17109654 0.09406196
0.19132172 0.09282397
0.21155639 0.09154322
0.23179812 0.09023828
0.25204467 0.08892579
0.27229394 0.08762032
0.29254404 0.08633432
0.31279318 0.08507816
0.33303975 0.08386030
0.35328227 0.08268741
0.37351940 0.08156460
0.39374996 0.08049563
0.41397288 0.07948308
0.43418727 0.07852855
0.45439236 0.07763285
0.47458749 0.07679612
0.49477214 0.07601798
0.51494591 0.07529765
0.53510847 0.07463403
0.55525963 0.07402579
0.57539922 0.07347142
0.59552721 0.07296932
0.61564357 0.07251782
0.63574836 0.07211520
0.65584169 0.07175975
0.67592369 0.07144977
0.69599454 0.07118360
0.71605442 0.07095962
0.73610355 0.07077626
0.75614218 0.07063202
0.77617055 0.07052547
0.79618892 0.07045523
0.81619754 0.07041999
0.83619669 0.07041854
0.85618664 0.07044970
0.87616764 0.07051238
0.89613998 0.07060554
0.91610390 0.07072821
0.93605968 0.07087949
0.95600755 0.07105853
0.97594777 0.07126452
0.99588058 0.07149674
1.01580621 0.07175450
1.03572488 0.07203714
1.05563682 0.07234409
1.07554224 0.07267478
1.09544134 0.07302871
1.11533431 0.07340540
1.13522134 0.07380444
1.15510261 0.07422542
1.17497831 0.07466798
1.19484858 0.07513179
1.21471359 0.07561655
1.23457348 0.07612200
1.25442842 0.07664788
1.27427852 0.07719398
1.29412392 0.07776011
1.31396475 0.07834611
1.33380112 0.07895182
1.35363314 0.07957713
1.37346092 0.08022193
1.39328456 0.08088615
1.41310416 0.08156970
1.43291980 0.08227256
1.45273157 0.08299470
1.47253955 0.08373609
1.49234381 0.08449676
1.51214442 0.08527671
1.53194144 0.08607599
1.55173494 0.08689465
1.57152497 0.08773274
1.59131159 0.08859036
1.61109484 0.08946759
1.63087477 0.09036454
1.65065141 0.09128132
1.67042480 0.09221807
1.69019498 0.09317493
1.70996197 0.09415206
1.72972580 0.09514962
1.74948649 0.09616778
1.76924407 0.09720674
1.78899853 0.09826670
1.80874991 0.09934787
1.82849820 0.10045047
1.84824341 0.10157474
1.86798554 0.10272092
1.88772459 0.10388926
1.90746057 0.10508004
1.92719345 0.10629352
1.94692323 0.10752999
1.96664990 0.10878975
1.98637344 0.11007311

0.01000000 0.20000000
0.03003528 0.19963731
0.05009776 0.19892010
0.07018017 0.19786611
0.09027581 0.19650149
0.11037912 0.19485907
0.13048594 0.19297629
0.15059357 0.19089318
0.17070066 0.18865043
0.19080688 0.18628779
0.21091265 0.18384286
0.23101879 0.18135020
0.25112627 0.17884083
0.27123596 0.17634197
0.29134853 0.17387699
0.31146438 0.17146555
0.33158358 0.16912383
0.35170590 0.16686483
0.37183088 0.16469870
0.39195781 0.16263310
0.41208587 0.16067351
0.43221411 0.15882359
0.45234154 0.15708545
0.47246715 0.15545993
0.49258997 0.15394683
0.51270905 0.15254513
0.53282353 0.15125315
0.55293261 0.15006873
0.57303559 0.14898930
0.59313183 0.14801208
0.61322080 0.14713407
0.63330203 0.14635220
0.65337516 0.14566331
0.67343985 0.14506428
0.69349589 0.14455200
0.71354307 0.14412345
0.73358127 0.14377565
0.75361040 0.14350576
0.77363043 0.14331104
0.79364135 0.14318885
0.81364318 0.14313669
0.83363596 0.14315218
0.85361978 0.14323308
0.87359472 0.14337723
0.89356088 0.14358265
0.91351838 0.14384743
0.93346735 0.14416981
0.95340790 0.14454812
0.97334018 0.14498080
0.99326433 0.14546641
1.01318047 0.14600359
1.03308875 0.14659107
1.05298931 0.14722770
1.07288228 0.14791239
1.09276779 0.14864414
1.11264597 0.14942202
1.13251694 0.15024519
1.15238082 0.15111286
1.17223773 0.15202432
1.19208776 0.15297894
1.21193102 0.15397611
1.23176761 0.15501531
1.25159761 0.15609606
1.27142111 0.15721795
1.29123819 0.15838059
1.31104890 0.15958367
1.33085333 0.16082690
1.35065152 0.16211005
1.37044351 0.16343293
1.39022937 0.16479538
1.41000912 0.16619728
1.42978278 0.16763856
1.44955040 0.16911917
1.46931197 0.17063910
1.48906751 0.17219838
1.50881702 0.17379706
1.52856051 0.17543522
1.54829795 0.17711299
1.56802933 0.17883051
1.58775463 0.18058794
1.60747382 0.18238549
1.62718686 0.18422338
1.64689370 0.18610187
1.66659430 0.18802124
1.68628859 0.18998178
1.70597651 0.19198382
1.72565799 0.19402772
1.74533295 0.19611385
1.76500131 0.19824260
1.78466297 0.20041439
1.80431782 0.20262968
1.82396577 0.20488892
1.84360669 0.20719260
1.86324046 0.20954124
1.88286695 0.21193536
1.90248601 0.21437552
1.92209751 0.21686229
1.94170128 0.21939628
1.96129715 0.22197809
1.98088495 0.22460838

0.01000000 0.30000000
0.03003246 0.29948860
0.05008186 0.29847815
0.07013510 0.29699516
0.09018105 0.29507826
0.11021147 0.29277523
0.13022145 0.29013981
0.15020924 0.28722849
0.17017583 0.28409791
0.19012423 0.28080265
0.21005874 0.27739382
0.22998427 0.27391808
0.24990577 0.27041714
0.26982786 0.26692760
0.28975449 0.26348105
0.30968886 0.26010427
0.32963334 0.25681959
0.34958948 0.25364527
0.36955809 0.25059589
0.38953937 0.24768282
0.40953294 0.24491456
0.42953804 0.24229718
0.44955358 0.23983464
0.46957824 0.23752912
0.48961057 0.23538136
0.50964905 0.23339084
0.52969215 0.23155610
0.54973835 0.22987487
0.56978621 0.22834430
0.58983434 0.22696105
0.60988149 0.22572148
0.62992647 0.22462170
0.64996823 0.22365769
0.67000581 0.22282536
0.69003836 0.22212059
0.71006513 0.22153932
0.73008546 0.22107755
0.75009878 0.22073138
0.77010461 0.22049704
0.79010252 0.22037087
0.81009216 0.22034939
0.83007323 0.22042926
0.85004549 0.22060731
0.87000874 0.22088051
0.88996281 0.22124602
0.90990757 0.22170114
0.92984293 0.22224334
0.94976881 0.22287023
0.96968515 0.22357957
0.98959191 0.22436929
1.00948907 0.22523742
1.02937661 0.22618215
1.04925453 0.22720179
1.06912283 0.22829479
1.08898151 0.22945968
1.10883057 0.23069514
1.12867002 0.23199994
1.14849986 0.23337295
1.16832011 0.23481316
1.18813076 0.23631962
1.20793180 0.23789149
1.22772323 0.23952802
1.24750504 0.24122853
